service_request_id,requested_datetime,updated_datetime,e,n,service_code,status,detail,year_requested,month_requested,processing_time_days
70,2013-04-16 17:12:28,2013-04-19 09:04:42,2683266,1251648,Strasse/Trottoir/Platz,fixed - council,"Schlagloch ca. 30-40 cm lang, ca. 15-20cm. Breit. Drähte der Induktionsschleifen der Ampelanlage sind in einer Länge von ca. 25-30cm ganz freigelegt und sichtbar, sogar bereits unterhöhlt",2013,4,2.661273148148148
71,2013-04-16 17:17:41,2013-04-17 08:00:02,2683275,1248095,Strasse/Trottoir/Platz,fixed - council,Belagsschaden,2013,4,0.6127430555555555
72,2013-04-16 17:28:32,2013-04-23 13:44:10,2681835,1249416,Abfall/Sammelstelle,fixed - council,Defektes Velo seit Monaten dort.,2013,4,6.844189814814815
74,2013-04-16 19:32:56,2013-04-19 16:30:07,2680175,1249559,Beleuchtung/Uhren,external,Beschädigung- Blinklicht VBZ Ausfahrt Engrosmarkt- Restaurant Markthalle,2013,4,2.8730439814814814
75,2013-04-16 20:04:31,2013-04-18 08:29:05,2681788,1249906,Beleuchtung/Uhren,fixed - council,Strassenlampe defekt.,2013,4,1.5170601851851853
77,2013-04-16 20:49:39,2013-04-16 21:33:21,2682239,1248965,Strasse/Trottoir/Platz,fixed - council,Temporäres Fahrverbot wird durchschnittlich 1.5 mal pro Minute überfahren. Wohl nicht genügend sichtbar.,2013,4,0.030347222222222223
78,2013-04-16 21:33:23,2013-04-18 15:49:15,2681569,1248899,Strasse/Trottoir/Platz,fixed - council,"Wie an der Geroldstrasse werden Velowege auf Trottoirs geführt - dies ist insbesondere für Velofahrende extrem gefährlich, besonders, wenn unsignalisierte Autoausfahrten aus Hinterhöfen über die Velowege führen.",2013,4,1.7610185185185185
79,2013-04-16 22:10:28,2013-04-18 10:13:10,2684844,1245054,Strasse/Trottoir/Platz,fixed - council,Absperrpfosten krumm.,2013,4,1.501875
80,2013-04-16 22:53:13,2013-04-17 09:52:57,2682350,1251425,Strasse/Trottoir/Platz,fixed - council,"Wehntaler stadtauswärts mehrere hervorstehende Kanaldeckel, beginnend ab ca Blitzer bis Kreuzung Regensbergstrasse.vor allem bei den Zebrastreifen.und die Wehntaler stadteinwärts ab Affoltern ist ja eine einzige Katastrophe an Schlaglöchern und Rüttelpiste.man könnte fast meinen , wir sind in einem anderen Land gelandet, haha.",2013,4,0.45814814814814814
83,2013-04-16 23:11:30,2013-04-17 08:31:13,2682223,1248166,Strasse/Trottoir/Platz,fixed - council,"Grosses Schlagloch vor dem Memphis. Mit jedem 32er-Bus, der darüberfährt, knallt es drei Mal.",2013,4,0.3886921296296296
84,2013-04-17 07:02:14,2013-04-18 10:37:38,2685237,1246349,Strasse/Trottoir/Platz,fixed - council,Strassenbelag Schlagloch,2013,4,1.1495833333333334
85,2013-04-17 07:04:09,2013-04-19 08:55:05,2683750,1250528,Strasse/Trottoir/Platz,external,"Grosses Schlagloch auf Strasse: Vom Schöneichtunnel herkommend, Richtg. Hirschwiesentunnel.",2013,4,2.0770370370370372
86,2013-04-17 07:42:01,2013-04-17 09:13:20,2683492,1247701,Strasse/Trottoir/Platz,fixed - council,Fehlende Pflastersteine,2013,4,0.06341435185185185
87,2013-04-17 07:45:11,2013-04-17 15:40:04,2683104,1249149,Strasse/Trottoir/Platz,fixed - council,"Schachtdeckel 5 cm unter Belag abgesenkt! Schaffhauserstrasse, Höhe Ecke Kronenstrasse 48",2013,4,0.3297800925925926
88,2013-04-17 07:55:59,2013-04-23 13:41:58,2678259,1252071,Abfall/Sammelstelle,fixed - council,"Bitte Abfallsäcke aufräumen. Die Bewohner konnten über das Wochenende die Metallsachen nicht entsorgen, da der Container überfüllt war.",2013,4,6.240266203703704
89,2013-04-17 08:09:26,2013-04-18 10:27:02,2681945,1249169,Strasse/Trottoir/Platz,fixed - council,Boardsteinkante ist nach unten eingesackt. Diese befindet sich direkt bei der Hofzufahrt. Gibt im Auto jeweils einen heftigen Schlag.,2013,4,1.0955555555555556
90,2013-04-17 08:15:33,2013-04-23 14:17:59,2685570,1251725,Abfall/Sammelstelle,fixed - council,Ilegalle deponie Überlandstrasse 215 beim Brunnen,2013,4,6.251689814814815
91,2013-04-17 08:23:18,2013-04-22 19:19:48,2681343,1248237,Abfall/Sammelstelle,fixed - council,Illegale Entsorgung,2013,4,5.455902777777778
92,2013-04-17 08:25:31,2013-04-17 08:53:12,2683068,1252276,Graffiti,fixed - council,Tags an Hauswand.,2013,4,0.019224537037037037
93,2013-04-17 08:39:31,2013-04-19 13:56:27,2683328,1248347,Strasse/Trottoir/Platz,fixed - council,Grosse Delle im Gehweg. Sehr gefährlich. Man kann sich leicht den Fuss vertrampen. ,2013,4,2.2200925925925925
94,2013-04-17 08:48:23,2013-04-19 11:40:07,2683908,1246676,Strasse/Trottoir/Platz,external,Beim Neubau an der Mühlebachstrasse 8 sind immer noch 2 Ausmess-Punkte (2cm hohe Schrauben) am Trottoir-Randstein fest verschraubt.,2013,4,2.1192592592592594
95,2013-04-17 08:48:25,2013-04-17 16:33:12,2680567,1247390,Strasse/Trottoir/Platz,fixed - council,Ganze Gutstrasse Ein einziges Schlagloch,2013,4,0.3227662037037037
96,2013-04-17 08:53:59,2013-04-17 16:37:23,2680389,1247511,Strasse/Trottoir/Platz,fixed - council,Absperrpfosten geknickt,2013,4,0.32180555555555557
97,2013-04-17 09:05:16,2013-04-18 15:40:09,2681967,1249728,Strasse/Trottoir/Platz,fixed - council,"Die Baustellenabschrankung lässt einen zu kleinen Durchgang für einen breiten Kinderwagen oder einen Rollstuhl frei. Mit unserem Zwillingskinderwagen müssen wir mit einem Rad über einen Randstein fahren, der für einen Rollstuhl zu hoch wäre.",2013,4,1.274224537037037
98,2013-04-17 09:33:04,2013-04-18 08:27:57,2681614,1246734,Beleuchtung/Uhren,fixed - council,Oberste Lampe im Waldteil brennt nicht mehr. (Festgestellt etwa am 14./15.04.),2013,4,0.9547800925925926
99,2013-04-17 09:34:40,2013-04-17 10:24:50,2682797,1245030,Graffiti,fixed - council,Verschmiert,2013,4,0.034837962962962966
100,2013-04-17 09:40:50,2013-04-19 08:32:23,2681805,1251879,Strasse/Trottoir/Platz,fixed - council,Schlagloch in der Strassenmitte hinter Schutzinsel bei Einfahrt Käferholzstrasse,2013,4,1.9524652777777778
101,2013-04-17 09:48:21,2013-04-18 10:26:20,2678814,1252645,Strasse/Trottoir/Platz,fixed - council,Diverse tiefe Löcher beim Fahrbahnrand Richtung Höngg.,2013,4,1.0263773148148148
102,2013-04-17 09:49:21,2013-04-18 13:31:52,2681823,1247217,Strasse/Trottoir/Platz,fixed - council,"Täglich umgehen dutzende Autofahrer die Sperrung der Weststrasse auf der Höhe Birmensdorferstrasse (neue Verkehrsordnung seit der Neugestaltung der Weststrasse) durch die Parkgarage der AXA-Versicherungen. Die Autos fahren an der Weststrasse in die Garage und fahren dann in die Birmensdorferstrasse wieder heraus und biegen von da aus wieder in die Fortsetzung der Weststrasse ein. Ich wohne direkt in diesem Abschnitt der Weststrasse und sehe tägliche Dutzende Autofahrer, die das machen.",2013,4,1.1545254629629629
103,2013-04-17 09:51:18,2013-04-19 08:30:36,2683666,1252774,Strasse/Trottoir/Platz,fixed - council,Nach Wasserschaden in prov. Belag grosses Loch,2013,4,1.9439583333333332
104,2013-04-17 09:53:08,2013-04-18 10:45:48,2683602,1247744,Strasse/Trottoir/Platz,fixed - council,2 Löcher,2013,4,1.036574074074074
105,2013-04-17 10:03:14,2013-04-17 13:23:47,2678865,1247552,Graffiti,fixed - council,Graffiti,2013,4,0.13927083333333334
107,2013-04-17 10:17:02,2013-04-23 10:31:41,2683736,1251662,Strasse/Trottoir/Platz,fixed - council,Dörfli-Str.: Tollendeckel versenkt; sehr unangenehmer Schlag !! Von der Schaffhauser-Str. kommend unmittelbar nach dem kreuzen mit der Walliseller-Str.,2013,4,6.010173611111111
108,2013-04-17 10:21:57,2013-04-19 06:59:12,2682307,1250092,Strasse/Trottoir/Platz,fixed - council,Kanaldeckel ca. 4 cm unter Belag. Viele Autofahrer weichen gefährlich auf andere Spur aus.,2013,4,1.859201388888889
109,2013-04-17 10:29:42,2013-04-17 13:49:05,2682836,1248328,Strasse/Trottoir/Platz,fixed - council,Schlagloch,2013,4,0.13846064814814815
111,2013-04-17 10:33:28,2013-04-17 11:21:49,2682871,1244215,Strasse/Trottoir/Platz,fixed - council,Tiefes Schlagloch min 8-12cm in der Kurve rechte Spur Richtung Unterführung. Sehr gefährlich mit dem Motorrad.,2013,4,0.03357638888888889
112,2013-04-17 10:34:50,2013-04-19 16:30:07,2682547,1250450,Strasse/Trottoir/Platz,external,"Guten Tag! Kürzlich ist die Käferholzstrasse vom Guggach her erneuert worden. Sie ist für Autos in Richtung Nordheim befahrbar. Für Velofahrer gibt es eine gelb gezeichnete Fahrspur in der Gegenrichtung!! Leider nur mit zwei gelben Velos auf die ganze Strecke markiert. Velofahrer die in der gleichen Richtung wie die Autos fahren haben keinen Veloweg, und werden immer wieder von Autofahrern angerempelt! Ich hätte auch Fotos. ",2013,4,2.246724537037037
114,2013-04-17 10:57:30,2013-04-18 10:44:42,2681696,1248249,Strasse/Trottoir/Platz,fixed - council,Schlagloch in Strasse,2013,4,0.9911111111111112
115,2013-04-17 11:23:52,2013-04-18 10:27:37,2680299,1249005,Strasse/Trottoir/Platz,fixed - council,Belagschäden im Bereich der Bushaltestelle SBB Werkstätte Stadtauswärts,2013,4,0.9609375
116,2013-04-17 11:27:24,2013-04-18 10:46:18,2681591,1248331,Strasse/Trottoir/Platz,fixed - council,"Belagschäden im Bereich Kanalisation, sehr gefährlich für Velofahrer",2013,4,0.9714583333333333
117,2013-04-17 11:28:48,2013-04-18 10:45:17,2681582,1248337,Strasse/Trottoir/Platz,fixed - council,"Belagsschäden auf der Strasse, gefährlich für Velo",2013,4,0.9697800925925926
118,2013-04-17 11:45:20,2013-04-17 13:41:28,2683507,1247279,Graffiti,fixed - council,Versprayte Hauswand,2013,4,0.08064814814814815
119,2013-04-17 11:50:13,2013-04-18 10:28:13,2682821,1248276,Strasse/Trottoir/Platz,fixed - council,Schlagloch Zollstrasse bei Credit Suisse,2013,4,0.9430555555555555
132,2013-04-17 12:34:45,2013-04-19 16:30:07,2682142,1247343,Strasse/Trottoir/Platz,external,Halteverbote sind nicht abgeholt,2013,4,2.163449074074074
262,2013-04-19 14:31:52,2013-04-23 06:21:50,2680331,1248690,Beleuchtung/Uhren,fixed - council,2 Strassenlampen defekt,2013,4,3.6596990740740742
122,2013-04-17 12:08:18,2013-04-18 15:33:48,2680950,1252621,Strasse/Trottoir/Platz,fixed - council,"Handpumpe defekt: Die Handpumpe der Velo-Pumpstation am Bahnhof Zürich-Affoltern, Riedenhaldenstrasse 288 lag am Montag 15. April 2013 defekt im grünen Fass. (Mein PNG-Bild wird nicht akzeptiert, ich erhielt die Rückmeldung: ""Bitte laden Sie nur JPEG Bilder hoch."")",2013,4,1.1427083333333334
123,2013-04-17 12:10:39,2013-04-19 07:55:04,2681050,1247155,Strasse/Trottoir/Platz,external,Die Haldenstrasse zwischen Birmensdorferstrasse und Bertastrasse wird für die Fahrt von der Birmensdorferstrasse in die Gutstrasse als Schleichweg missbraucht - eine massive Belastung für uns Anwohner. Die Geschwindigkeit wird oft deutlich überschritten.,2013,4,1.822511574074074
124,2013-04-17 12:16:05,2013-04-18 10:47:33,2683235,1246762,Strasse/Trottoir/Platz,fixed - council,Bürkliplatz: Loch im Asphalt auf Velostreifen Richtung Enge (mitten in der Kreuzung),2013,4,0.9385185185185185
125,2013-04-17 12:18:39,2013-04-18 10:47:01,2683445,1247278,Strasse/Trottoir/Platz,fixed - council,Pflasterstein hat sich gelöst,2013,4,0.9363657407407407
126,2013-04-17 12:20:27,2013-04-18 10:48:42,2683604,1246887,Strasse/Trottoir/Platz,fixed - council,"Rämistrasse am Bellevueplatz: 1. Dohlendeckel nicht eben mit Strasseniveau und 2. tiefes Loch im Asphalt auf Velostreifen Richtung Kunsthaus, man ist wegen beiden Mängelns als Velofahrer gezwungen den Velostreifen zu verlassen",2013,4,0.9362847222222223
127,2013-04-17 12:25:10,2013-04-25 10:26:22,2682931,1246484,Grünflächen/Spielplätze,fixed - council,"Veloweg entlang der Rentenanstaltwiese/Arboretum Höhe Kreuzung Genferstrasse/General Guisan-Quai bis Höhe Kreuzung Beethovenstrasse/ General Guisan-Quai in katastrophalem Zustand, diverse Schlaglöcher und Frostschäden",2013,4,7.9175
128,2013-04-17 12:26:42,2013-04-23 07:49:44,2682628,1250279,Strasse/Trottoir/Platz,fixed - council,"Beim Übergang in Richtung Guggach tropft das Wasser bei Regen von einem Überlauf auf die Bushaltestelle hinunter. Zum Teil kommt auch wirklich viel Wasser, was unangenehm ist. Wäre schön, wenn man eine Rinne installieren könnte oder ein Rohr dranhängen könnte, welches das Wasser abführt.",2013,4,5.807662037037037
129,2013-04-17 12:28:31,2013-04-18 10:48:00,2681755,1248027,Strasse/Trottoir/Platz,fixed - council,Strassenbelag löchrig im Abschnitt zw. Herman-Greulich-Strasse und Helvetiaplatz.,2013,4,0.9301967592592593
130,2013-04-17 12:32:44,2013-04-19 16:25:05,2681665,1245800,Strasse/Trottoir/Platz,external,"Füssgängerstreifen Wannerstrasse: Wenn man als Fussgänger von der Migros Brunaupark her bei Rot am Fussgängerstreifen stehen bleibt und auf Grün wartet und dann los läuft kommen immer noch Autos von links aus der Giessübelstrasse (und diese sind regulär bei Grün über die Kreuzung, und nicht bei Orange oder Rot). Die Füssgängerampel an der Wannerstrasse ist nicht genug gut abgestimmt mit der Autoampel an der Giesshübelstrasse.",2013,4,2.1613541666666665
131,2013-04-17 12:34:01,2013-04-18 08:24:28,2682540,1250257,Beleuchtung/Uhren,fixed - council,Strassenlampe / Wegbeläuchtung flackert. Brennt ein paar Minuten und flackert dann wieder ein paar Minuten. Lampe blinkt dann im Sekundentakt,2013,4,0.8267013888888889
133,2013-04-17 12:35:52,2013-04-23 16:14:11,2679954,1248711,Abfall/Sammelstelle,fixed - council,Grill am Straßenrand entsorgt.,2013,4,6.151608796296296
134,2013-04-17 12:39:09,2013-04-19 07:00:04,2682550,1250224,Strasse/Trottoir/Platz,fixed - council,Gehweg durch Wurzelwuchs beschädigt. Die Wurzel des Baumes drückt den Belag nach oben und reisst den Belag auf. Der Belag ist bereits mehrere Zentimeter angehoben worden.,2013,4,1.764525462962963
135,2013-04-17 13:00:55,2013-04-23 13:39:07,2683487,1247211,Abfall/Sammelstelle,fixed - council,"Graffiti bei Treppe zum Grossmünster, neben Haus zum Loch.",2013,4,6.026527777777778
136,2013-04-17 13:07:56,2013-04-18 11:49:19,2682730,1246850,Strasse/Trottoir/Platz,fixed - council,"Bleicherweg , Auffahrt Tödistr. Schlagloch und lose Pflastersteine beim Strassenrand",2013,4,0.9454050925925926
138,2013-04-17 13:11:19,2013-04-19 07:52:01,2682789,1253867,Strasse/Trottoir/Platz,fixed - council,Schlaglöcher,2013,4,1.7782638888888889
139,2013-04-17 13:15:23,2013-04-17 15:28:11,2682908,1243102,Strasse/Trottoir/Platz,fixed - council,ca. zwei Schlaglöcher neben der Strassenmitte (Fahrspur talwärts rechts),2013,4,0.09222222222222222
141,2013-04-17 14:07:26,2013-04-18 10:52:41,2681501,1248159,Strasse/Trottoir/Platz,fixed - council,Loch im Asphalt,2013,4,0.8647569444444444
142,2013-04-17 14:15:12,2013-04-23 15:04:31,2683131,1247370,Grünflächen/Spielplätze,fixed - council,1 Sitzbank Steg abgefallen,2013,4,6.034247685185186
143,2013-04-17 14:24:44,2013-04-18 14:20:05,2681951,1246053,Strasse/Trottoir/Platz,external,Schlecht reparierter Belagschaden,2013,4,0.9967708333333334
146,2013-04-17 14:43:45,2013-04-17 15:00:05,2679010,1247151,Strasse/Trottoir/Platz,external,"In der blauen Zone am Schützenrain (Höhe Nr.35, gegenüber Nr.32) parkiert seit Monaten ein grünes Wohnmobil. Es wird nie bewegt. Der Besitzer hat zwar eine 8047-Bewilligung. Aber hat er damit wirklich eine Dauer-Parkbewilligung?  <br/>  <br/>  Freundliche Grüsse.",2013,4,0.011342592592592593
147,2013-04-17 14:44:29,2013-04-17 16:22:08,2685993,1246069,Graffiti,fixed - council,"Rotes graffiti auf einem silbernen garagentor an der eierbrechtstrasse 23. ungefährer wortlaut des graffitis: ""ecsk"".",2013,4,0.0678125
148,2013-04-17 14:48:01,2013-04-18 14:25:05,2680196,1246641,Strasse/Trottoir/Platz,external,Schlagloch zwischen Zebrastreifen und der Kurve.,2013,4,0.9840740740740741
