,detail
48612,"An der Strassenabzweigung Luchswiesenstrasse / Altwiesenstrasse befindet sich eine Sammelstelle (Legalisierter Ilegaler Abfallplatz) die seit Monaten stark beschmutz ist. Einerseits durch ""Entsorger"" anderseits ist der Boden durch flüssigen Abfall aus einem Glassammelkontainer (einer der mal dort Stand) aufgeweicht. Beides könnte mittels Hochdruck etc. wahrscheinlich entfernt werden. <br/>  <br/> Ich würde mich freuen wenn Sie diese unschönheit bereinigen könnten. <br/>  <br/> Freundliche Grüsse und Dank Oskar Graf"
48617,Abfall
48621,Boxen in Unterführung
48627,Einkaufswägeli
48630,Guten Tag <br/>  <br/> Freundliche Grüsse 
48634,Scherben auf dem Pier (Bürkliplatz)
48635,Sperrmüll
48636,Einkauswägeli mit Bierdosen bitte entfernen. Danke.
48637,Steht seit mehreren Wochen dort. Personen stellen immer mehr und mehr Müll dazu.
48645,Abfall
48647,Bettrahmen
48648,Zelt
48649,Einkaufswägeli
48651,"Abfall auf der ganzen Straße . Bitte die GANZE STATIONSTRASSE reinigen, auch zwischen parkierten Autos und Bürgersteig. Danke"
48652,Entsorgung
48653,Entsorgung
48654,Schon wieder wurde dieser Abfalleimer seit Tagen nicht geleert. Inzwischen ist er wieder randvoll.
48664,"Altkartonhaufen. Hinter der Baustelle, wurde wohl nicht Abgeholt."
48673,Mind. 2 Schrottvelos blockieren den Platz vor der PBZ Bibliothek.
48676,Velorad
48683,Weisse Farbe auf dem Trottoir. Wäscht sich langsam vom Regen aus.
48688,"Bei den Veloständern gleich nach der Tafel Zone 30 steht seit etwa zwei Wochen ein alter Veloanhänger, vergammelt, sicher als ""Abfall"" dort deponiert."
48691,Tv vrpackung mit sagez adresse der person steht auf der verpackung
48693,Müllentsorgung
48696,Entsorgung
48702,Metallgestell
48704,Gestern Abend gab es ein party bei der moussonstrasse 17 bis 4 Uhr am Morgen. Heute morgen gibt es Abfall auf der Strasse.
48707,"Alles voller Abfall, Scherben am Boden etc."
48708,Paletten
48709,Trottoir voller Abfall.
48712,Illegalle Müllensorgung neben die vorhandenen Container - Kinderzelt und anderes Material. 
48721,Bitte abholen kommen
48723,Schrottvelo am Baum
48725,"Bei der Fussgängerunterführung (Schulweg) hat es seit dem Herbst extrem viel Laub das vergammelt und nicht weggewischt wird. Die Kinder rutschen regelmässig darauf aus wenn sie das Gefühl haben sie müssen runter rennen… Es wäre schön, wenn die Unterführung geputzt werden könnte. Freundliche Grüsse "
48729,Guten Morgen Wie bereits am Donnerstag in Meldung 54339 gemeldet wurde wieder von einer bekannten Person Hausmüll illegal in 2 Tüten hinter dem Textilcontainer entsorgt. Diese wurde über ihr Fehlverhalten auch informiert. Bringt aber nichts. <br/>  <br/> Generell liegt leider immer viel Unrat bei dieser Sammelstelle. <br/>  <br/> Freundliche Grüsse Nadine Rüegg
48730,Abfall auf der Strasse deponiert
48731,Abfall auf der Straße deponiert
48732,Leeren
48733,Zwei Fahrräder stehen schon seit ca. zwei Wochen da. Die Sattel sind weg und sie haben beide einen Platten.
48739,"Einlauf verstopft, Pfützenbildung. Danke fürs Entstopfen."
48740,"Abfall liegt einfach herum, inkorrekt/illegal entsorgt. Dies wiederholt sich immer wieder."
48742,Möbel
48743,"Guten Tag, der Abfluss ist verstopft. Nebenan befindet sich eine Baustelle."
48747,Ablaufschacht scheint verstopft zu sein.
48749,Ohne Worte..
48751,Alles voller Scherben.
48752,Liegt seit einem halben Jahr hier.
48753,Kissen
48754,Sofa
48757,Einkaufswägeli
48758,Einkaufswägeli
48761,Steht hier auch schon 4 Monate
48762,"Abflussdole seit langem verstopft, Wasser fliesst nicht ab bei Regen"
48763,Matratzen liegen rum
48774,"Am Ende der Ferdinand Hodler Strasse wurde ein ausgedientes Möbelstück ,unsachgemäss‘ entsorgt"
48779,Zerschlagene Tisch-Glasscheibe. Scherben Unbenannter Fussweg zw. Herzogenmühlestr. und Glattstegweg.
48783,Liegt hier schon seit über einer Woche.
48785,"Brücke über Bach weggeschwemmt ( Denzllerweg, Abzweigung Kulm / Staffel"
48786,"Der Abfalleimer ist wieder randvoll. Bis anhin wurde der täglich geleert. Wenn ihr einen neuen Turnus eingeführt habt wäre es gut das zu wissen, denn dann spare ich mir das melden."
48793,Graffiti bei Baumscheibe
48796,Schrank
48798,Abfall
48799,Abfall
48803,Alte Reifen liegen auf dem Trottoir
48809,Lime soll bitte endlich dieses Fahrrad abholen. Danke!
48816,Altes Sofa wurde hier abgestellt
48817,Sauerei
48820,Steht schon seit Tagen hier
48823,Die Recyclingstelle versperrt den Autofahrenden die Sicht bei der Ausfahrt auf die Strasse aus dem Parkplatz. Es gab schon Unfälle.
48828,Dieses Schild liegt unter der Brücke Maneggpromenade.
48830,Bild und Liegestuhl
48831,"Guten Tag <br/>  <br/> Hier braucht es regelmässig eine feuchte Reinigung. Leider sind einige Nutzer nicht fähig, sich korrekt zu verhalten. Nur wischen reicht leider nicht hier. <br/>  <br/> Freundliche Grüsse & herzlichen Dank Michael Besmer"
48833,"Das Schild und Briefkasten wurden von dem Abfallwagen gekratzt und das 90 kg schwere Schild musste demontiert werden, eingerichtet und wieder montiert. Die Beschriftung ist gekratzt und muss neu beschriftet werden."
48834,Seit Wochen kommt mehr und mehr Müll dazu.
48835,"Ich beziehe mich auf meine Meldung #54559 Ja, es ist meine Eigentum aber die Schaden wurden von dem Entsorgungswagern der Stadt verursacht. Der Chauffeur trägt die Verantwortung."
48842,Abfall bei und in Rabatte
48844,Abfall mit Adresse
48847,Sofa auf Trottoire
48852,"Sehr geehrte Damen & Herren, <br/>  <br/> Die Holztische am Röntgenplatz sind stark verschmutzt! Es wäre toll, wenn sie gereinigt werden könnten da der Regen nicht viel nützt. <br/>  <br/> Vielen Dank und einen schönen Abend!"
48855,Möbel
48859,Die Kartone legen auf dem Troittor (Werdstrasse zwischen 110 und 106) schon seit mehr als eine Woche. Danke
48860,"Die Ansammlung kommt alle paar Tage neu, es muss etwas dauerhaftes gemacht werden, ein Schuld mit den Strafen und wenn möglich eine Videoüberwachung. Alles andere Hilft nicht!"
48862,Abfall liegt schon gut 2 Wochen dort
48867,Illegale entsorgung
48868,Abfall auf der Straße deponiert
48870,Viele glasscherben auf trottoir neben illegaler mülldeponie
48872,"An der Bahnhofstrasse hat es in den Vertiefungen um die Bäume teilweise extrem viel Zigarettenstummel, die nicht entfernt werden. Zudem bleibt der übrige Abfall unter der Abdeckung um Bäume liegen. Man sieht den Abfall durch die Ritzen der Abdeckung. Könnte man diesen bitte auch regelmässig entfernen."
48881,Extrem viele Glasscherben an der Kreuzung von Bristenstrasse zu Bahnhof Altstetten
48884,Mülleimer raucht
48886,Der gemeldete Bettrahmen hier wurde leider nicht abgeholt!
48890,Schwarz entsorgte Matratze
48893,Dieses Teil steht seit über einem Jahr und wurde nie benutzt. Anwohner stellen ständig Müll darauf seitdem es illegal da platziert wurde
48895,Kaputter Behälter für Büchseneinwurf und deponierter Müll bei der Entsorgungsstelle.
48897,E-Trotti im Fluss
48906,Palette
48909,Baumscheiben voll Dreck
48910,Sofa
48911,Stuhl
48913,Palette und Möbel
48914,Zwei Bettroste
48915,Matratze und Stühle sowie diverses Zeug
48916,Abfallsack
48917,Nachbar hat seine Wohnungsmöbel bei unserer Abfallsammelstelle deponiert.KönntenSie dies bitte entsorgen und eine Orientierungstafel stellen? Besten Dank
48922,"Seit Wochen wird dieser Grüngutcontainer nicht geleert. Bevor er in der Sommerhitze zu stinken beginnt wär es schön, wenn sich jemand darum kümmern könnte. Danke"
48923,Scherben
48924,Scherben auf Bushaltestelle/Veloroute
48926,Sperrgut
48930,Abfall auf der Straße deponiert
48932,Entsorgung
48933,Falscher Zeitpunkt
48934,Abfall
48935,Alles voller losem abfall. Javellflaschen kullern bereits schon auf den Parkplatz rum. Kleider und viel hauskehricht.
48936,"Wann wird ERZ endlich diese (und weitere Standorte) illegale Deponie überwachen und die Wildentsorger zur Rechenschaft ziehen. Als Steuerzahler komme ich mir blöde vor, wenn ich für die Entsorgung bezahle obwohl man anscheinend unbesorgt mit Billigung der Stadt Zürich seinen Abfall überall GRATIS ligen lassen kann!"
48942,Littering
48943,Mal wieder zu früh…
48945,Veloleiche mit gebrochenem Rahmen
48947,"Tisch, diverser Untat."
48952,Glasscherben auf dem Gehweg
48953,Kleider Haufen im Gras
48954,Littering
48956,Einkaufswägeli
48957,Klapptisch
48958,Rabatten voll Müll
48959,BAumscheibe voll Dreck
48960,Sessel
48961,Bürosessel
48962,Abfall
48963,Einkaufswägeli
48965,Verklebtes Schild
48966,"Wie immer nach der Kartonsammlung liegt viel Karton herum. Ich beobachte das fast überall in der Stadt. Warum führt man keine Kartoncontainer ein? Man müsste vielleicht die Stadteinwohner wieder über die korrekte Handhabung der Kartonsammlung informieren. Oder die ERZ Mitarbeiter achten beim Einsammeln des Kartons, dass sie den ganzen Kartonabfall mitnehmen."
48967,Abfall
48969,Schmietereien FCZ
48970,"Kaputte Veloständer, viel Abfall."
48972,"Seit Monaten liegt hier vor dem Friedhof Sihlfeld ( Mobility Auto) viel Abfall und Laub. Das Friedhofbüro erklärte mir, dass das ERZ für die Reinigung zuständig sei."
48973,Defektes Lime-Bike
48974,"Mit Kex und Deko vertaggede Sitzbank, dise beiden machen sehr viele Graffitis ect im Quartier bis hin zum Stauffacher"
48975,Verschmierter Schaukasten vom Quartierverein Hottingen
48978,Grillfuss
48979,Abfall
48981,Matratze
48986,Seit Wochen steht diese Vespa an der Röschibachszrasse in der Nähe vom Sozialzentrum wipkingerplatz
48987,"Wieder einmal gibt es in meiner Nachbarschaft Gegenstände, die Leute auf der Straße abstellen. Wir, die Nachbarn der Straßen Brahmsstraße und Albisriederstraße, haben es nicht verdient, dass Müll oder unerwünschte Gegenstände vor unseren Wohnungen abgestellt werden. Wir zahlen unsere Steuern und das ist nicht akzeptabel. Zuvor hatte die Stadt am Anfang der Brahmsstraße ein großes Schild aufgestellt, um darauf hinzuweisen, dass dies illegal ist, aber offensichtlich ist es diesen Leuten egal. Und sie werden nur bestraft, wenn sie auf frischer Tat ertappt werden. Ich weiß nicht, ob Sie als Stadt die Zahl der Polizisten in der Gegend erhöhen oder Kameras, also Videoüberwachungsanlagen, an Laternenpfählen anbringen müssen (ich bin kein Fan von beiden Maßnahmen), aber unsere Nachbarschaft sollte nicht akzeptieren müssen, dass wir zu Müllhalden auf unseren Straßen werden und es muss mehr getan werden. Bitte tun Sie mehr, als nur ein vorübergehendes Schild aufzustellen, denn das funktioniert offensichtlich nicht. Vielen Dank! :-)"
48990,Der Durchgang 
48991,Scherben auf veloweg/Platz bei treppe.. Bitte ganzen weg um die treppe mit maschine wischen (kleine scherben einige meter verteilt)
48993,"Bitte wieder Hinweistafel aufstellen,-dass am Sonntag keine Flaschen entsorgt werden darf. Auch wird immer wieder Möbel,Spiegel,etc dort deponiert"
48997,Hallo Seit über einem Jahr steht dieses Fahrrad an dieser Stelle. Nie genutzt und rostet vor sich hin. Auch ist der Korb immer wieder mit Müll belegt. Habe leider keine Ahnung wer für die Entsorgung zuständig ist. <br/>  <br/> Viele Grüsse Béat Eltschinger
49000,Matratze
49001,Glastisch
49002,Verbranntes und Ziegel
49004,Kühlschrank wild deponiert .
49007,Seit mindestens zwei Wochen steht diese Matratze vor den Garagen beim Mehrfamilienhaus Russenweg 14.
49011,Seit längerem liegt hier Unrat neben dem Treppenaufgang.
49013,Entsorgung
49014,Bank an Haltestelle Berninaplatz
49016,"Illegal entsorgter Abfall ua voller Kehrichtsack, Stuhl div. Karton ect. beim Hydranten. Danke!"
49018,Seit ca. einem Monat befindet sich vor dem Schild des Mediakampus ein grosser Wagen mit Kartonmüll. Dieser wird immer wieder auch am Karton-Sammeltag nicht abgeholt. Meine Anfrage nach gehört das Müll nicht dem Medienkampus.
49024,Graffiti
49031,Einkaufswägeli
49034,Matratze
49035,Diverser Abfall
49036,Glasplatte
49037,Styropor
49040,Palette
49041,Deponie Kleider Müll….
49056,Paletten
49057,Möbel
49059,Stuhl
49060,Gartenmobiliar
49061,Bügelbrett
49062,Defektes Velo
49068,Ufer Böschung voll Müll
49069,Illegale Abfallentsorgung
49073,Nicht korrekt entsorgte Matratzen
49074,Mülldeponierung
49075,Illegale Entsorgung
49079,"Eigentlich wie immer: die ""Grünflächen"" sind voller Abfall, Zigarettenstummel etc."
49081,Gestell
49082,"Jemand hat mehrere grosse weisse Spanplattenschubladen auf Rollen auf dem Trottoir entsorgt. Sie versperren das Trottoir dermassen, dass es gefährlich werden kann. Wir haben sie gegen das Haus gelehnt und aufgestellt, aber wegen der Rollen sind sie instabil. Wenn man die möglichst bald abholen könnte, wäre es sehr schön: auf diesem Trottoir ist viel Personen und Velofahrerverkehr."
49083,Seit Monaten verrostet dieses Gefährt ungebraucht angekettet am Arosasteig. Wir Nachbarn bitten um sachgerechte Entfernung.
49084,Bügelbrett
49085,Diverser Abfall
49086,Palette und Mobiliar
49087,Holzabfall
49088,Kopierer
49090,Möbel
49091,Stuhl
49092,Haarwäscher
49093,"Palette, Aktenschrank und Abfallsauerei"
49094,"Sperrgut und Abfall einfach vor dem Haus 8, Brinerstrasse, abgestellt."
49098,Abfall
49099,Ski
49101,"Wildes Abstellen von Müll ist hier zur Gewohnheit geworden und die Verwaltung macht nichts. Der Hausmeister ist machtlos, da dies sehr oft vorkommt."
49105,"Illegale ""Entsorgung"" eines Bettsofa. (Dabei ist das Werdhölzli so nahe und die jährliche Entsorgungscoupon so eine tolle Sache)"
49107,Wieder einmal mehr am überquillen. Bitte regelmässiger leeren danke.
49108,Kaputtes Velo
49110,Sofa
49112,Palette
49113,Sessel
49114,Hundkot
49115,Sessel
49116,Abfall
49120,Elektro
49121,Palette
49122,Sessel
49123,Baumscheibe voll Dreck
49125,Abfall
49126,Glas und Abfall
49128,Bänkli voll Farbe
49129,Mobiliar
49130,Styropor
49131,"Dieser Container mit Abfall steht schon länger hier, aber wem er gehört weiss ich nicht."
49132,Paletten
49133,Zweimal 
49134,Koffer
49136,Rabatte voll Dreck
49138,Abfall überquilt mit Hundeseckli
49139,Müll
49143,Scherben auf der Brücke
49150,"Unordnung, schon unglaublich wie undiszipliniert gewisse Leute sind. Danke für die steten Bemühungen für Sauberkeit und Ordnung"
49152,Beschädigtes Velo abgestellt
49156,Altes Bügelbrett und Stuhl sowie Scherben.
49159,"Wieder scherben auf dem veloweg zwischen laterne mit ""achtung schule"" und treppe auf der ganzen breite/weg"
49160,Strassennamen-Tafel ist verklebt.
49161,Illegal entsorgter Karton. Bitte unbedingt Büssen. Die lernen es sonst nie. Besten Dank  (Seit Sonntag 31.03. bis 1.4. deponiert.)
49162,Grünes Elektrotrotti im Wasser (Schanzengraben)
49167,Bürostuhl
49168,Das schon gemeldete Sofa ist immer noch da
49170,Grill
49171,Möbelhaufen
49172,Abfall
49173,Müll
49177,Jedes mal schlimmer. Wie wärs mit einer Kamera? So kann es nicht weitergehen!
49178,Stuhl
49180,Seit der letzten Meldung vom 27.3. häuft sich der Abfall täglich. Seit 2.4. wurden zudem Möbel auf Trottoir deponiert. Hydrant zudem schwer zugänglich. Besten Dank!
49181,Sperrmüll entsorgen
49182,Sperrmüll!
49183,Verunstaltung Sitzbank
49187,Wie immer: Baum als Abfallplatz.
49188,"Illegal entsorgter Abfall! Inzwischen wurde dieser über die Ostertage in den nebenan stehenden Betriebskericht-Container "" verfrachtet"". Dort gehört er jedoch wahrscheinlich auch nicht rein."
49189,"In letzter Zeit entwickelt sich die Stelle am Beginn des Fusswegs ""Zum Griesernweg"", die ""eigentlich"" nur zum Deponieren von Papier bzw. Karton an den Sammeltagen gedacht ist, zu einer ständigen Abfalldeponie. Aktuelles Beispiel: Jemand hat am 15. März sein Papier zu spät gebracht. Das Papierbündel blieb liegen. Am 22. war Kartonsammlung, das Papier blieb liegen und ebenso ein Sack mit Plastikabfall darin. Ostern, alles noch dort, plus ein neues Papierbündel obendrauf. Heute 2. April, alles noch immer dort. War gar nicht schön, diese Deponie über die Feiertage... danke für die Kenntnisnahme."
49190,Zuviel Pet Abfall
49192,Ausgeschlachteter Roller wurde illegal entsorgt. Nicht verzeichnet in polizeilichen Informationssystemen. Bitte Roller fachgerecht entsorgen.
49193,Liegt seit sicher 2 Wochen hier
49194,Abfalleimer wurde seit einigen Tagen nicht mehr geleert.
49195,Bei Im Isengrind 9/11 ist ein Möbel deponiert worden auf dem Trottoir neben unseren Container. Würden sie ihn abholen kommen Freundliche grüsse
49197,Illegal deponierte Möbel (Sofa)
49200,Holz
49201,Schrank
49202,Bügelbrett und Mikrowelle
49204,"Wieder lassen Leute unerwünschte Gegenstände auf der Straße liegen. Diesmal sieht es aus, als sei es das Waschbecken eines Friseurs zum Haarewaschen."
49205,"In fast allen Vertiefungen um Bäume liegt viel Abfall,"
49206,Abfall in Vertiefungen um Bäume.
49207,Abfall
49209,Abfall seit langem.
49214,Teppich
49215,Abfallm Gestänge
49216,Abfall
49217,Holzabfall
49219,"Ich habe hier bereits einmal eine Meldung gemacht. Diese Ecke verkommt immer mehr zur Müllhalde. Da es sich um Privatgrund handelt, ist es natürlich nicht an Ihnen, das zu beseitigen. Falls Sie mir mitteilen könnten, wer hier zuständig (Eigentümer/Verwaltung?) ist, würde ich mich künftig direkt an diese wenden. Aber wie kann ich das herausfinden? Herzlichen Dank!"
49221,Veloleiche an der Ohmstrasse
49222,Geschirrspühler und Lampe
49229,Dieser Schlafplatz wird kaum noch genutzt und es wurde auch recht viel Abfall über das Geländer geworfen.
49230,Der Sperrmüll reicht auf öffentlichen Grund
49235,Diverse Schlösser am Zaun.
49240,IKEA Diwan auf Trottoir
49242,Karton wurde abgeholt. Nach wie vor liegt etlich anderer Müll ua Styropor Plastik Schuhe Stuhl etc. Verteilt vor dem Hydranten. Danke!
49243,Hier liegt wieder einmal ein halber Wohnungsinventar auf dem Trottoir.
49244,Illegale entsorgung waschmachine
49246,"Ilegal entsorgte, grosse Batterie"
49248,"Wilde Entsorgung auf Leiterwagen: Sofa, grosse Holzbretter daneben der Leiterwagen gehört zum Haus"
49254,Sofa
49255,Kindersitz
49256,Dvd's
49257,Schrottvelo
49258,Bänkli könnte man reinigen
49259,Sofa
49261,Abfallsack
49270,Abfall
49271,"Ein Robidog-Behälter wäre hier besser angebracht, anstelle von initiativer Selbsthilfe! Es wimmelt von Hunden…"
49273,"In der Grünfläche um einen Baum lag dieser Abfall. Ich würde es schätzen, wenn der Abfall in den Grünflächen am Manesseplatz regelmässig eingesammelt wird. Dieser Abfall habe ich entsorgt. Somit kann die Nachricht gelöscht werden."
49277,"Die Unterführung am Bellevue See/Limmat ist komplett mit Taubenkot verschmutz, richtig ecklig und widerlich, es wird immer schlimmer, das ist schon lange kein Hochdruckreiniger mehr zum Einsatz gekommen. Das ist schon etwas eine Schande für Zürich, was sich wohl die Touristen dazu denken?"
49281,"Grosse Mengen an Dreck und Abfall in den Blaue Zone Parkplätzen vor Bristenstrasse 20, am besten müssten sie mal abgesperrt und geputzt werden"
49284,Haltestelle Herdernstrasse Richtung Stadt: Erbrochenes auf dem Boden
49286,Abfall
49287,Einkaufwägeli mit Abfall
49289,Möbel
49290,Einkaufswägeli mit Abfall
49291,Verdächtiges Velo
49292,Eingewachsenes Velo
49295,"Seit wochen liegen da leider scherben am boden, in unmittelbarer nöhe zum veloabstellplatz. vielen dank fürs wegmachen! :)"
49296,Elektroschrott und Bierflaschen
49298,Sessel und Lampe
49299,Abfall
49300,Elektrogerät
49301,Möbelstück
49303,Deponiert von schwarzem Mercedes
49304,Verschmutzung des öffentlichen Raumes
49305,"Wahrscheinlich ist es kein Abfall, sondern ein recht neues rotes Velo mitten in der Sihl."
49306,Es steht ein kaputter Schreibtisch auf dem Trottoir.
49307,Illegal deponierter Abfallcontainer
49308,…
49310,"Kühlschrank steht seit einer woche rum mit noch essensreste drin, wurde schon vor einer woche gemeldet."
49311,Müll unsachgemäss entsorgt nach Party am Samstagabend……
49312,Spielplatz verschmutzt
49314,Veloweg von Scherben und Abfall übersät
49315,Haufen von Schrankteilen
49316,"Bienemaja angefahren, Unfallrückstände noch vorhanden"
49318,Bolt e-Bike im Zürisee
49319,Abfall im Leutschenpark gegenüber Leutschentower
49321,Abfall am Strassenrand/auf dem Trottoir
49322,"Jemand hat hier ein Sofabett oä hingestellt, das Abfall bzw kaputt ist, wie es schwint. Bitte entsorgen"
49323,Alter Stuhl im Wasser
49324,Illegal entsorgte Pneus
49325,Grassschneider
49326,Wurde am Sonntag nicht geleert. habe verstreuten Abfall etwas zusammen geräumt
49328,Es hat mal wieder jemand seinen Hausrat entsorgt.
49329,"Es liegen oft Steine von den Stein""gärten"" der Liegenschaft 75/69 auf dem Veloweg und der Strasse."
49331,Beide Bänkli da könnten mal gereinigt werden
49332,Straße seit Jahren nicht mehr gereinigt
49334,Abfall gratis entsorgt
49346,Illegale Deponierung einer sperrigen Matratze.
49347,Strassenbennenungstafel: Name nicht sichtbar. Überklebt mit Kleber
49348,Sieht jeden Tag so aus. Weitere Abfalleimer neben den Sitzbänken wären angebracht.
49351,Es wird immer wieder illegal Abfall entsorgt. <br/>  <br/> Die Tafel daneben zustellen bringt nicht viel ich weiss das auch anders nicht dagegen vorgegangen werden kann. <br/>  <br/> Es ändert sich trotzdem nichts.
49352,Das Einkaufswägeli mit Abfall steht hier und nicht an der Müllerstrasse
49353,Der Abfall ist hier und nicht an der Müllerstrasse
49355,Käferholzstrasse nähe Norheimstrasse vis a vie Schrebergärten
49358,"Es riecht stark nach Erbrochenem, rund um den Bahnhofsaufgang vor Zigaretten Dürr"
49359,Wann 
49360,Karton auf der Strasse
49362,"Ein rechteckiger Kasten aus Holz und Metall mit 3 roten Türen (ca. 80-100cm lang) steht seid ca. 10 Tagen auf dem Trottoir vor unserer Liegenschaft. Ist es möglich, dass die Stadt das bitte entfernen lässt? Vielen Dank!"
49363,Elektro
49364,Matratze
49365,Mobiliar
49366,Tisch
49367,Abfallcontainer defekt
49368,Kindersessel
49369,Gummimatten
49370,Karton auf der Strasse - siehe Bilder
49377,"Illegale Entsorgung von Müll auf der Strasse bei Stiglenstrasse 27. dieses Mal völlig unbrauchbares Material aus Umbau oder Renovierung. Kein Hinweis darauf, dass es abgeholt wird."
49378,"Guten Abend, an der Roswiesenstrasse 4, 8051 Zürich liegt seit 1.4. ein Berg von Kartons. Sie haben versprochen, dass der Karton bis 5.4. entsorgt wird. Leider liegt immer noch alles da. Viele haben nicht gecheckt, dass 1.4. ausgefallen ist. Mein Balkon geht auf die Entsorgungsstelle, es ist ärgerlich. FG, Barbara Hettich Solar"
49379,Dieses alte Mofa steht seit längerem unverändert auf dem Fussweg im Weg und verliert Öl.
49381,"Guten Abend, an der Roswiesenstrasse 4, 8051 Zürich liegt seit 1.4. ein Berg von Kartons. Sie haben versprochen, dass der Karton bis 5.4. entsorgt wird. Leider liegt immer noch alles da. Viele haben nicht gecheckt, dass 1.4. ausgefallen ist. Mein Balkon geht auf die Entsorgungsstelle, es ist ärgerlich. FG, Barbara Hettich Solar"
49382,Guten Tag <br/>  <br/> Hier liegt ein Pflasterstein und Abfall seit einiger Zeit. <br/>  <br/> Grüsse
49383,Dohle verstopft. Siehe Foto. Vielen Dank!
49385,Hinterlassener Tierkäfig
49389,"Leider schon wieder illegal entsorgtes Sperrgut vor unserer Haustüre. Bereits letzte Woche lag ein defektes Bett da. <br/>  <br/> Zudem wären wir mega dankbar über ein verbessertes System bei der Sammelstelle (oder intensivere Kontrollen?). Täglich wird rund um die Glascontainer Abfall in offenen Säcken und auch lose deponiert, den es bei uns aufs Trottoir, um die Bäume und in die Hauseingänge bläst (siehe Foto). Sehr unbefriedigend und immer schlimmer, leider. Ich schäme mich, wenn Gäste zu Besuch sind. <br/>  <br/> Vielen Dank, dass ihr unsere Stadt sauber hält 🙏 💖"
49390,Sperrmüll auf Gehsteig abgestellt
49391,"Das sind keine Grünflächen, das sind Abfalleimer/Aschenbecher mit Baum in der Mitte. Abstoßend."
49392,Müllbehälter schon länger überfüllt.
49393,Schön wieder ein riesiger Abfallberg!
49396,"Der Berg Karton liegt um die Abfallbehälter der Stadt Zürich an der Roswiesenstrasse, 8051 Zürich, also kein privater Grund, wir haben es schon 2x gemeldet, bitte lassen Sie es nicht bis nä Montag liegen. FG, Barbara Hettich Solar"
49398,Es stinkt gewaltig nach Erbrochenem. <br/>  <br/> Besten Dank.
49401,"Hier wird nach wie vor regelmässig Müll wild bei der Plakatwand deponiert, gerne vor Papier- oder Kartonsammlungen. Der nicht korrekte Müll wird dann natürlich nicht mitgenommen, und fliegt an windigen Tagen dann in der ganzen Nachbarschaft umher."
49402,"Der gemeldete, volle Kübel da ist städtisch, das Viadukt ist Fussgänger- und Veloweg, also öffentlich. Besten Dank"
49405,Abfall
49406,Überfüllte Mülleimer
49412,"Wir bewundern die Akribie, mit der die Stadtreinigung das Emilie-Lieberherr-Plätzchen reinigt. Wir verstehen aber nicht, warum die Johannesgasse, die auf das Plätzchen mündet, so vernachlässigt wird. Sie ist der Hinterhof zum Platz, hier deponieren Junkies, Alkis und Schüler ihren Müll. Und die Strassendiebe. Seit zwei Wochen liegt da eine geplünderte Reisetasche. Gestern kam dann die Reinigung. Was tat sie? Sie hat einen Bogen gemacht um die Tasche und den vergammelten Inhalt liegen lassen. Eine milde Tat für den Obdachlosen, der seit 10 Tagen vor dem Denner am selben Platz schläft?"
49419,Sperrgut abgestellt.
49422,Velorad
49423,Elektro
49425,Warum wird bei dieser Entsorgungssammelstelle für Kehricht und biogene Abfälle entgegen der Ankündigung nur einen statt zwei Zylinder eingebaut?
49430,Hier stehen 3 grüne und nur ein grauer Container. Das Resultat sehen Sie auf den Fotos. Je 2 graue und grüne wären wohl wesentlich sinnvoller.
49438,"Diese Entsorgung gehört da nicht hin, besonders wenn man bedenkt, das es viele Schulkinder gibt!"
49439,"Das Schrottvelo hier wurde vor 5 Monaten gemeldet , es steht immer noch da. Toll die Veloordnung!"
49442,"Scherben am Boden, an mehreren Stellen."
49444,"Unterflur-Sammelbehälter bei Hirzenbachstrasse 66 ist mit verkeiltem Gegenstand verstopft, der Einwurf für Abfallsäcke blockiert."
49445,Bitte einmal mehr entsorgen danke
49446,Abfalleimer offen/kaputt
49447,Greuzi Stadt Züri <br/>  <br/> Jemand hat hier wohl eine Privateabfallstelle ins Lebengerufen. <br/>  <br/> Besten Dank für das beseitigen! <br/>  <br/> Mit freundlichen Gruss!
49449,"Illegale Abfallentsorgung, Möbel, Kleider etc., seit Mittwoch 10.04. dort."
49452,"Zugemüllter Grüncontainer steht da schon einige Zeit. Ist nicht schön, vor allem für Spielzeuggeschäft dahinter."
49454,Mülleimerhalterung defekt
49457,Karton
49458,Einkaufswägeli
49459,Abfall immer noch da!
49460,Der gemeldete Schrank ist immer noch da
49463,Bitte Velo abholen. Danke
49465,"Wer nur hat sich dieses System mit drei gleich kleinen Behältnissen erdacht? Kein Problem: Noch mehr Personal einstellen, die doppelt so oft die Abfallsäcke leeren."
49468,Matratze und Holz wurden hier deponiert.
49469,Ölspur seit einigen Wochen befindet sich eine Ölspur ab Höhe Mattackerstrasse 24 bis Kehrplatz. Könnte diese entfernt werden?
49470,Diversen Abfall
49471,Alte Möbel seit einigen Tagen abgestellt.
49474,Möbel
49475,Wieder viel Müll auf dem Boden. Das wird immer schlimmer. Man sollte Kameras aufstellen und Bussen verteilen.
49476,Kleiderschrank
49477,Glass un Müll
49483,Glasscherben im Kinderspielplatz Lindenhof
49484,Abfall im Wald gefunden
49485,"Überall auf dem Spielplatz (Rutsche, Kieselsteinen, oben, unten) grünes und weisses zerbrochenes Glas"
49488,Abfall und Scherben
49491,Einkaufswägeli
49492,Wäscheständer
49493,Defektes Velo
49494,Palette
49495,Liegestuhl
